EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,JOB_ID,SALARY,DEPARTMENT_ID,RESIDENCY_ID
198,Donald,OConnell,DOCONNEL,21-Jun-07,SH_CLERK,2600,50,1500
199,Douglas,Grant,DGRANT,13-Jan-08,SH_CLERK,2600,50,1500
200,Jennifer,Whalen,JWHALEN,17-Sep-03,AD_ASST,4400,10,1700
201,Michael,Hartstein,MHARTSTE,17-Feb-04,MK_MAN,13000,20,1000
202,Pat,Fay,PFAY,17-Aug-05,MK_REP,6000,20,1800
203,Susan,Mavris,SMAVRIS,7-Jun-02,HR_REP,6500,40,2400
204,Hermann,Baer,HBAER,7-Jun-02,PR_REP,10000,70,2700
205,Shelley,Higgins,SHIGGINS,7-Jun-02,AC_MGR,12008,110,1700
206,William,Gietz,WGIETZ,7-Jun-02,AC_ACCOUNT,8300,110,1700
100,Steven,King,SKING,17-Jun-03,AD_PRES,24000,0,3000
101,Neena,Kochhar,NKOCHHAR,21-Sep-05,AD_VP,17000,90,1700
102,Lex,De Haan,LDEHAAN,13-Jan-01,AD_VP,17000,90,1700
103,Alexander,Hunold,AHUNOLD,3-Jan-06,IT_PROG,9000,60,1700
104,Bruce,Ernst,BERNST,21-May-07,IT_PROG,6000,60,1400
105,David,Austin,DAUSTIN,25-Jun-05,IT_PROG,4800,60,1800
106,Valli,Pataballa,VPATABAL,5-Feb-06,IT_PROG,4800,60,2000
107,Diana,Lorentz,DLORENTZ,7-Feb-07,IT_PROG,4200,60,1400
108,Nancy,Greenberg,NGREENBE,17-Aug-02,FI_MGR,12008,100,1700
109,Daniel,Faviet,DFAVIET,16-Aug-02,FI_ACCOUNT,9000,100,1700
110,John,Chen,JCHEN,28-Sep-05,FI_ACCOUNT,8200,100,1700
111,Ismael,Sciarra,ISCIARRA,30-Sep-05,FI_ACCOUNT,7700,100,1700
112,Jose Manuel,Urman,JMURMAN,7-Mar-06,FI_ACCOUNT,7800,100,1700
113,Luis,Popp,LPOPP,7-Dec-07,FI_ACCOUNT,6900,100,1700
114,Den,Raphaely,DRAPHEAL,7-Dec-02,PU_MAN,11000,30,1800
115,Alexander,Khoo,AKHOO,18-May-03,PU_CLERK,3100,30,1900
116,Shelli,Baida,SBAIDA,24-Dec-05,PU_CLERK,2900,30,1700
117,Sigal,Tobias,STOBIAS,24-Jul-05,PU_CLERK,2800,30,1800
118,Guy,Himuro,GHIMURO,15-Nov-06,PU_CLERK,2600,30,1700
119,Karen,Colmenares,KCOLMENA,10-Aug-07,PU_CLERK,2500,30,1200
120,Matthew,Weiss,MWEISS,18-Jul-04,ST_MAN,8000,50,1900
121,Adam,Fripp,AFRIPP,10-Apr-05,ST_MAN,8200,50,1900
122,Payam,Kaufling,PKAUFLIN,1-May-03,ST_MAN,7900,50,1900
123,Shanta,Vollman,SVOLLMAN,10-Oct-05,ST_MAN,6500,50,2400
124,Kevin,Mourgos,KMOURGOS,16-Nov-07,ST_MAN,5800,50,2400
125,Julia,Nayer,JNAYER,16-Jul-05,ST_CLERK,3200,50,2400
126,Irene,Mikkilineni,IMIKKILI,28-Sep-06,ST_CLERK,2700,50,2400
127,James,Landry,JLANDRY,14-Jan-07,ST_CLERK,2400,50,2400
128,Steven,Markle,SMARKLE,8-Mar-08,ST_CLERK,2200,50,2400
129,Laura,Bissot,LBISSOT,20-Aug-05,ST_CLERK,3300,50,2400
130,Mozhe,Atkinson,MATKINSO,30-Oct-05,ST_CLERK,2800,50,2400
131,James,Marlow,JAMRLOW,16-Feb-05,ST_CLERK,2500,50,2400
132,TJ,Olson,TJOLSON,10-Apr-07,ST_CLERK,2100,50,2400
133,Jason,Mallin,JMALLIN,14-Jun-04,ST_CLERK,3300,50,1900
134,Michael,Rogers,MROGERS,26-Aug-06,ST_CLERK,2900,50,1900
135,Ki,Gee,KGEE,12-Dec-07,ST_CLERK,2400,50,1900
136,Hazel,Philtanker,HPHILTAN,6-Feb-08,ST_CLERK,2200,50,1900
137,Renske,Ladwig,RLADWIG,14-Jul-03,ST_CLERK,3600,50,1900
138,Stephen,Stiles,SSTILES,26-Oct-05,ST_CLERK,3200,50,1900
139,John,Seo,JSEO,12-Feb-06,ST_CLERK,2700,50,1900
140,Joshua,Patel,JPATEL,6-Apr-06,ST_CLERK,2500,50,1900
